GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
1/623-9;QF Bruderhaus Hagenbuchen, Tettnang;87.5;11.1;0.3;49.9;1.1;17.1;7.6;17.7;7.37;18.9;9.9;0.0007;0;3543580;5279290;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
1/653-0;BBR Werbachhausen;145;44.1;1.02;85.5;1.6;29;9;49.7;7.21;93.2;11.6;0.0012;0;3549280;5505360;72;MUSCHELKALK;Middle Triassic;agr;1
1/657-0;SBR Kl?ranlage, KÅnzelsau;197;130.3;0.2;141.8;3.7;30.7;82.3;12.8;7.07;277.6;9.7;0.0008;0.00011;3549655;5460855;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
1/659-6;QF Schneckenbrunnen, Michelbach;49.8;2.3;0.69;40.3;0.65;29.7;3.5;8.1;7.64;20.3;9.1;0.0008;0;3557490;5435860;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/660-5;QF Vordere Seequelle, Sulzbach-Gaildorf;48.5;6.5;0.34;38.3;0.97;24.2;4.2;10.6;7.63;20.3;12.4;0.0018;0;3559420;5423910;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/667-4;TB 2 Tiefer Brunnen, Rottenacker;95;12.3;0.82;52.6;1.1;20.1;2.9;10.1;7.23;25.4;5.1;0.0013;0.00005;3550260;5344700;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;agr;1
1/668-7;BR I Alberweiler, Schemmerhofen;100.9;30.9;0.49;61.2;1.9;15.2;8.4;47;7.26;21;8.7;0.0005;0;3556750;5335300;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
1/669-0;TB Thermalwasserbrunnen Jordanbad, Biberach;21;22;0.51;43.5;5.4;10;80;0.5;7.29;6.7;23.5;0.0005;0;3561160;5326780;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;agr;1
1/670-9;QF 4 Osterhofen, Bad Waldsee;78.5;3.6;0.4;40.9;0.5;18.4;2.6;14.4;7.39;16.9;9.6;0.001;0;3561625;5310745;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
1/671-1;QF Schwanzweiherquelle Baindt, Bad Waldsee;113.5;21.5;0.3;67.2;1.4;26.4;4.4;32.6;7.27;26.8;13.2;0.0011;0;3551435;5303745;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
1/672-4;TB Damoos Vogt, Vogt;55.5;4.6;0;36.3;1.2;16.6;3.3;10.5;7.73;12.7;11.6;0.002;0;3557060;5294777;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
1/673-7;TB 1 Hauptbrunnen Buch, Bodnegg;69;8.8;0.3;43.9;1.6;18.4;8;22.5;7.45;17.3;11.4;0.0014;0;3550156;5283147;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
1/709-2;QF II Eichelbrunnen, Frankenhardt-GrÅndelhardt;104;16.8;0.36;71.1;2.43;52.3;4.5;19;7.29;119;10.3;0.0031;0;3568850;5438060;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/710-1;QF Horgenbrunnen, BÅhlertal;72.5;12.9;0.62;58.7;2.34;43.3;4.2;16.5;7.33;35.5;8.8;0.0062;0;3569150;5429290;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/719-6;GWM 1/88, Steinhausen an der Rottum;96;23;0.57;52.3;0.5;16;6.4;53;7.31;15;12.8;0.001;0.00018;3568910;5320470;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;agr;1
1/721-8;GWM K1 Haidgau-Kimpfler, Ziegelbach;99;8.4;0.4;51.5;1.4;14.8;4.5;29.4;7.26;8.4;9.1;0.0006;0;3563460;5306470;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
1/757-5;QF Brunnenbuck, Wallhausen;87;35;0.4;68.8;1.8;43;7.2;54;7.44;62;7.7;0.0037;0;3577930;5455295;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
1/758-8;QSS Wolfsschlucht, Crailsheim;52.1;3.3;0.73;40.1;0.71;31.6;2.9;5.2;7.5;30.6;8.5;0.00025;0;3582870;5446200;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/759-0;QF Holderbrunnen, Stimpfach;61;4.8;0.65;47.9;1;34.9;3.8;10.4;7.28;35;10.6;0.0007;0;3581900;5437740;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
1/770-3;QF Ziegelbrunnen, Aichstetten;78;12.2;0.3;42.6;0.6;11;6;23.9;7.58;13.3;9;0.00025;0;3582400;5308000;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
1/771-6;QF Gotteswaldquelle, Aichstetten;70.3;8.8;0.4;40.9;0.8;14.2;4.1;14.9;7.64;8.1;9.4;0.00025;0;3582065;5304235;8;QUART?R DECKENSCHOTTER ?BER MOLASSE;Quaternary AF/MB;no_agr;0
1/812-1;GWM Hirntal, Grosskuchen;121;12;0.5;60;1.1;13;3.2;22;7.09;21;5.4;0.0005;0.00004;3590150;5401950;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
1/814-7;SBR 2 Firma R?hm, Sontheim an der Brenz;115;24;0.2;60.1;1.9;10;4.4;26;7.13;17;5.9;0.0005;0.00004;3596340;5379815;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
10/073-0;TB 1 Dinkelberg, Maulburg;15;12.2;0.3;12.5;1.6;2.6;6;7.9;6.13;8.5;10.5;0.0005;0;3409295;5279710;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
10/263-6;QSS Busenwiesenquellen, Seewald;6.5;10.1;0.2;7.2;1.5;2.5;2.7;3.1;6.1;2;6;0.00025;0;3460790;5385365;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
10/265-1;QF LohmÅhle, Loˇburg;6.2;6.2;0.5;5.8;1.1;2.1;2.5;3.7;5.9;3.1;4.6;0.00025;0;3456850;5362960;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
10/266-4;Q Ehlenbogen, Alpirsbach-Ehlenbogen;5.2;2;0.5;4.3;1.6;1.4;0.7;4.2;5.9;4.3;6.4;0.00025;0;3455430;5359530;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
10/312-0;QF III, Langenbrand;8.4;18.4;0.48;11.5;2.7;1.8;9.1;12.1;6.01;2.9;4.1;0.00025;0;3471802;5406487;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
10/314-5;QF Bachwiesen, Gr?mbach;14.7;4.3;1.6;11.5;1;5.4;2;4.3;6.12;4.9;4.4;0.0005;0;3466850;5381270;81;BUNTSANDSTEIN;Lower Triassic;agr;1
10/317-3;QF SandbÅhlbach Harrenbergquelle, Epfendorf;100;11.8;0.5;71.2;1.19;50.2;3.3;19.8;7.24;64.3;6.8;0.0009;0;3470200;5344600;71;LETTENKEUPER;Lettenkeuper;agr;1
10/320-8;QF Bl?si, Aasen;338;17.2;0.6;168;10.3;67.5;10.8;28.1;7.02;827;9.2;0.0035;0.00018;3466400;5315190;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
10/360-2;GWM SWP O3/10 B, PF-Eutingen;85.8;53;0.55;67.2;1.8;39;13;18.6;7.2;38.1;8.1;0.0014;0;3481261;5418491;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
10/361-5;BBR Parkhaus am Bahnhof, Pforzheim;0;340;0;0;1.9;43;52;54;6.92;190;10.3;0.0013;0.00069;3477977;5417417;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
10/363-0;QF II St?ckbrunnen, Gechingen;136;4.7;2.3;64.9;0.6;15.9;2.6;9.5;7.16;41.3;8.7;0.0005;0;3485721;5394283;72;MUSCHELKALK;Middle Triassic;agr;1
10/364-3;QF Geiˇler, GÅndringen;113;20.6;0.67;62.7;1.5;31.9;4.8;39.6;7.23;64.6;6.4;0.0005;0;3478530;5375440;72;MUSCHELKALK;Middle Triassic;no_agr;0
10/369-7;GWM Firma Weba, Balgheim;146;27;0.6;64;0.8;2.6;5.8;32;7.08;30;6.4;0.00025;0;3482590;5325100;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
10/413-7;TB Aidursprung, Aidlingen-Dachtel;140.9;14.9;0;69.9;1.13;19;4.6;21.8;7.29;67;6.8;0.0005;0;3488400;5393210;72;MUSCHELKALK;Middle Triassic;agr;1
10/458-9;BBR Seewiesen, Massenbachhausen;139.1;37.1;0.55;80.2;1.17;34.7;6;35.6;7.17;72.3;13.6;0.0015;0;3503350;5448510;71;LETTENKEUPER;Lettenkeuper;no_agr;0
10/467-6;SBR ESGE Gartenstraˇe Ebingen, Albstadt;147;316;0.9;139;36;7.6;129;36;7.12;39;6.1;0.00025;0;3502060;5341460;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
10/471-3;QF Waldsteigquelle Oberndorf,  Herdwangen-Sch?nach;117;25;0.2;61.4;0.8;19.7;6.2;37;7.27;21;10.1;0.0012;0.00009;3511600;5301560;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
10/520-7;GWM 2 Spitzbreite, Ostrach;78;13;0.5;47;0.9;21;4;11;7.32;24;11;0.0015;0;3524570;5309430;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;agr;1
10/553-6;QF Paulusbodenquelle links, Hardheim;78;24;0.69;46.7;0.76;13;6.1;32;6.9;33;10;0.0005;0.00005;3534300;5498930;81;BUNTSANDSTEIN;Lower Triassic;agr;1
10/557-7;BBR II, Hardthausen-Kochersteinsfeld;119;27.4;1.9;76.3;2.9;29.7;21.1;11;NA;130;10.9;0.0007;0;3529895;5455950;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
10/568-0;GWM 133, Altheim;196;20;6.2;81.3;5.4;3;7.1;0.5;6.74;72;6.2;0.0005;0;3534000;5333580;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
10/606-0;QF Jakobswiesen, Diebach;136;14;0.95;70.7;1.1;19;3.5;33;7.2;90;10;0.00025;0;3546340;5465870;72;MUSCHELKALK;Middle Triassic;no_agr;0
10/657-1;QF Sauerbrunnen, Hesselbronn;97;24;0.6;78.2;5.2;53;17;1.6;7.14;98;11;0.0005;0;3550880;5452660;71;LETTENKEUPER;Lettenkeuper;agr;1
10/721-9;BR 2 Grubenwald Diepoldshofen, Leutkirch im Allg?u;103;8.7;0.4;55.7;1.3;17.9;4.4;22.5;7.24;10.8;9;0.0007;0;3568760;5302270;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
10/761-3;TB Krummbachtal, Neuschmiede, AbtsgemÅnd;62.1;23.2;1.92;56.2;2.71;29.2;43;4.9;7.44;37;11;0.0038;0;3575615;5418140;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;agr;1
10/771-7;BR Holzhof Unterzell, Leutkirch im Allg?u;92.5;10.5;0.4;50.4;1.3;15;4.6;11;7.33;6.5;6.1;0.0005;0;3575310;5302380;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
10/814-8;GWM 1952 LW, Bauhof, Niederstotzingen;128;33;0.4;65.8;2.9;8.9;7.3;35;7.02;19;5.9;0.0007;0.00004;3591902;5378036;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
100/064-7;GWM 3573 K?nigsberger Straˇe, Kehl;60;37.9;0.5;47;2.9;6.8;24.6;7.3;NA;31.2;5.8;0.0007;0;3412442;5382898;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
100/114-7;GWM 3458 Auenheimer MÅhle, Kehl-Kork;106;28.6;1.91;53.1;2.3;6.7;12.5;2.5;7.27;42.3;10.5;0.0007;0.00002;3415410;5384800;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
100/271-5;QF In der Oele, L?ffingen;69.1;19;1.64;41.2;1.23;15.1;9.3;9.2;7.49;13.4;7.1;0.0009;0;3451110;5306690;72;MUSCHELKALK;Middle Triassic;agr;1
100/321-9;GWM 3117, Leipferdingen;107;1.5;0.8;45.8;0.5;3.4;1.2;6.1;7.11;12.1;4.9;0.00025;0;3472810;5302920;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
100/355-1;GWM 112 Kraft, HD-Handschuhsheim;160;45;0.48;97.3;3.25;28.5;21.8;78.1;7.14;118;11.1;0.0012;0.00007;3476340;5477240;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
100/371-8;GWM 3285, Engen-Neuhausen;114;46;0.5;65.2;2.1;13;16;35;7.29;24;6.1;0.0006;0.0002;3483040;5299110;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
100/372-0;GWM 3197, Rielasingen;129;21;0.9;66.6;0.9;16.2;6.7;98;7.25;23;10.1;0.0007;0;3487510;5287490;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
100/516-6;GWM B4 Grafental, M?gerkingen;108;10.2;0.2;53.6;0.5;13.4;1.6;21.5;7.26;9.1;6.2;0.0005;0;3516290;5352130;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
100/617-9;GWM 2 Braunsel Emeringen, Emeringen;116.1;18.6;0.81;55.4;1.4;6.6;5.4;27;7.09;10.8;1.9;0.00025;0.00005;3539600;5344400;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
100/715-9;TB 4 Lautern Wippingen, Blaustein;117.9;32.6;0.82;61.2;1;4.5;9.3;31.7;7.19;12.8;4.6;0.0005;0.00008;3563810;5367980;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
100/863-0;BBR Buchberg, Demmingen;105;15;0.4;56.9;2.1;15;4.1;27;7.22;18;6.9;0.0005;0.00008;3605165;5394250;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;agr;1
1004/306-0;BR Firma Schumacher, Ketsch;187;66;1.3;106.4;7.7;28;33;5.4;7.13;201;11.1;0.0029;0.00002;3467340;5472120;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
101/066-5;GWM 3479, Schwanau-Ottenheim;159;51.3;0.95;77.7;2;15.4;11.1;0;7.15;48.2;13.6;0.002;0.00003;3408775;5362819;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
101/372-4;GWM 3198, Rielasingen;158;43;6;81.3;1.3;20.3;11.6;48;7.04;107;9.8;0.0246;0;3486740;5286920;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
101/457-9;GWM P B1, Haˇmersheim;151;57.9;0.9;91;0.8;31.6;22;27;7.15;121;11.1;0.0008;0;3510360;5462080;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
101/611-7;TB 3 Breuninger, Schorndorf;260;63;0.73;144.8;2;39;33;1.3;6.87;447;8.6;0.003;0;3538825;5408040;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
