,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,species_id,genus,species,taxa
228,229,9,13,1977,13,DM,M,35.0,44.0,DM,Dipodomys,merriami,Rodent
229,230,9,13,1977,15,DM,,,,DM,Dipodomys,merriami,Rodent
230,231,9,13,1977,15,DS,,,,DS,Dipodomys,spectabilis,Rodent
231,232,9,13,1977,9,DS,M,48.0,,DS,Dipodomys,spectabilis,Rodent
232,233,9,13,1977,2,DM,M,25.0,44.0,DM,Dipodomys,merriami,Rodent
233,234,9,13,1977,9,DM,M,35.0,45.0,DM,Dipodomys,merriami,Rodent
234,235,9,13,1977,13,DM,F,37.0,45.0,DM,Dipodomys,merriami,Rodent
235,236,9,13,1977,9,DS,F,47.0,,DS,Dipodomys,spectabilis,Rodent
236,237,9,13,1977,9,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
237,238,9,13,1977,2,PE,M,20.0,19.0,PE,Peromyscus,eremicus,Rodent
238,239,9,13,1977,1,DS,M,48.0,,DS,Dipodomys,spectabilis,Rodent
239,240,9,13,1977,9,DS,F,53.0,,DS,Dipodomys,spectabilis,Rodent
240,241,9,13,1977,3,DS,,,,DS,Dipodomys,spectabilis,Rodent
241,242,9,13,1977,2,OX,M,19.0,22.0,OX,Onychomys,sp.,Rodent
242,243,10,16,1977,6,DM,F,38.0,44.0,DM,Dipodomys,merriami,Rodent
243,244,10,16,1977,22,DM,F,36.0,42.0,DM,Dipodomys,merriami,Rodent
244,245,10,16,1977,2,DM,M,37.0,39.0,DM,Dipodomys,merriami,Rodent
245,246,10,16,1977,13,DM,M,37.0,47.0,DM,Dipodomys,merriami,Rodent
246,247,10,16,1977,2,DS,M,54.0,,DS,Dipodomys,spectabilis,Rodent
247,248,10,16,1977,22,OT,M,,21.0,OT,Onychomys,torridus,Rodent
248,249,10,16,1977,13,DM,M,36.0,42.0,DM,Dipodomys,merriami,Rodent
249,250,10,16,1977,18,DS,F,51.0,,DS,Dipodomys,spectabilis,Rodent
250,251,10,16,1977,2,DM,M,36.0,49.0,DM,Dipodomys,merriami,Rodent
251,252,10,16,1977,6,DS,F,53.0,,DS,Dipodomys,spectabilis,Rodent
252,253,10,16,1977,20,DM,M,38.0,39.0,DM,Dipodomys,merriami,Rodent
253,254,10,16,1977,20,DM,F,36.0,43.0,DM,Dipodomys,merriami,Rodent
254,255,10,16,1977,18,DM,M,35.0,50.0,DM,Dipodomys,merriami,Rodent
255,256,10,16,1977,6,DM,M,36.0,41.0,DM,Dipodomys,merriami,Rodent
256,257,10,16,1977,2,DM,M,37.0,47.0,DM,Dipodomys,merriami,Rodent
257,258,10,16,1977,18,DM,F,36.0,37.0,DM,Dipodomys,merriami,Rodent
258,259,10,16,1977,2,DM,M,36.0,41.0,DM,Dipodomys,merriami,Rodent
259,260,10,16,1977,22,DM,F,36.0,36.0,DM,Dipodomys,merriami,Rodent
260,261,10,16,1977,6,DM,M,36.0,45.0,DM,Dipodomys,merriami,Rodent
261,262,10,16,1977,20,PE,M,19.0,20.0,PE,Peromyscus,eremicus,Rodent
262,263,10,16,1977,1,DM,M,37.0,40.0,DM,Dipodomys,merriami,Rodent
263,264,10,16,1977,9,DS,F,49.0,,DS,Dipodomys,spectabilis,Rodent
264,265,10,16,1977,9,DM,M,38.0,49.0,DM,Dipodomys,merriami,Rodent
265,266,10,16,1977,2,NL,,,,NL,Neotoma,albigula,Rodent
266,267,10,16,1977,22,DS,F,46.0,,DS,Dipodomys,spectabilis,Rodent
267,268,10,16,1977,2,DM,F,36.0,55.0,DM,Dipodomys,merriami,Rodent
268,269,10,16,1977,6,DM,M,37.0,46.0,DM,Dipodomys,merriami,Rodent
269,270,10,16,1977,1,DM,F,36.0,38.0,DM,Dipodomys,merriami,Rodent
270,271,10,16,1977,9,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
271,272,10,16,1977,18,NL,,,,NL,Neotoma,albigula,Rodent
272,273,10,16,1977,9,DM,M,37.0,44.0,DM,Dipodomys,merriami,Rodent
273,274,10,16,1977,2,OL,F,20.0,21.0,OL,Onychomys,leucogaster,Rodent
274,275,10,16,1977,20,DM,M,37.0,41.0,DM,Dipodomys,merriami,Rodent
275,276,10,16,1977,1,DS,F,50.0,,DS,Dipodomys,spectabilis,Rodent
276,277,10,16,1977,6,OL,,20.0,21.0,OL,Onychomys,leucogaster,Rodent
277,278,10,16,1977,9,DS,M,50.0,,DS,Dipodomys,spectabilis,Rodent
278,279,10,16,1977,2,PE,F,19.0,,PE,Peromyscus,eremicus,Rodent
279,280,10,16,1977,18,DM,M,37.0,46.0,DM,Dipodomys,merriami,Rodent
280,281,10,16,1977,20,NL,,,,NL,Neotoma,albigula,Rodent
281,282,10,16,1977,22,NL,,,,NL,Neotoma,albigula,Rodent
282,283,10,16,1977,6,DM,M,34.0,36.0,DM,Dipodomys,merriami,Rodent
283,284,10,16,1977,13,DM,M,37.0,44.0,DM,Dipodomys,merriami,Rodent
284,285,10,16,1977,1,DM,M,36.0,53.0,DM,Dipodomys,merriami,Rodent
285,286,10,16,1977,20,DS,M,50.0,,DS,Dipodomys,spectabilis,Rodent
286,287,10,17,1977,17,DM,M,38.0,41.0,DM,Dipodomys,merriami,Rodent
287,288,10,17,1977,17,DM,M,37.0,48.0,DM,Dipodomys,merriami,Rodent
288,289,10,17,1977,14,DM,M,38.0,47.0,DM,Dipodomys,merriami,Rodent
289,290,10,17,1977,17,DM,F,33.0,,DM,Dipodomys,merriami,Rodent
290,291,10,17,1977,11,DS,F,47.0,,DS,Dipodomys,spectabilis,Rodent
291,292,10,17,1977,3,DO,F,36.0,33.0,DO,Dipodomys,ordii,Rodent
292,293,10,17,1977,4,DM,F,36.0,42.0,DM,Dipodomys,merriami,Rodent
293,294,10,17,1977,3,DO,F,37.0,50.0,DO,Dipodomys,ordii,Rodent
294,295,10,17,1977,11,DM,M,36.0,41.0,DM,Dipodomys,merriami,Rodent
295,296,10,17,1977,17,OT,,18.0,21.0,OT,Onychomys,torridus,Rodent
296,297,10,17,1977,11,NL,,,,NL,Neotoma,albigula,Rodent
297,298,10,17,1977,19,DM,M,36.0,49.0,DM,Dipodomys,merriami,Rodent
298,299,10,17,1977,17,OT,M,19.0,,OT,Onychomys,torridus,Rodent
299,300,10,17,1977,14,DS,F,,,DS,Dipodomys,spectabilis,Rodent
300,301,10,17,1977,17,DS,F,48.0,,DS,Dipodomys,spectabilis,Rodent
301,302,10,17,1977,19,DM,F,36.0,44.0,DM,Dipodomys,merriami,Rodent
302,303,10,17,1977,3,DM,M,36.0,31.0,DM,Dipodomys,merriami,Rodent
303,304,10,17,1977,21,DM,M,37.0,40.0,DM,Dipodomys,merriami,Rodent
304,305,10,17,1977,14,DM,F,35.0,40.0,DM,Dipodomys,merriami,Rodent
305,306,10,17,1977,16,DM,M,33.0,23.0,DM,Dipodomys,merriami,Rodent
306,307,10,17,1977,19,DM,M,36.0,42.0,DM,Dipodomys,merriami,Rodent
307,308,10,17,1977,4,DS,F,48.0,,DS,Dipodomys,spectabilis,Rodent
308,309,10,17,1977,17,DS,M,49.0,,DS,Dipodomys,spectabilis,Rodent
309,310,10,17,1977,11,DS,,,,DS,Dipodomys,spectabilis,Rodent
310,311,10,17,1977,19,RM,M,18.0,13.0,RM,Reithrodontomys,megalotis,Rodent
311,312,10,17,1977,11,DM,F,36.0,42.0,DM,Dipodomys,merriami,Rodent
312,313,10,17,1977,19,DM,M,35.0,31.0,DM,Dipodomys,merriami,Rodent
313,314,10,17,1977,14,NL,,,,NL,Neotoma,albigula,Rodent
314,315,10,17,1977,3,DM,M,36.0,39.0,DM,Dipodomys,merriami,Rodent
315,316,10,17,1977,15,DM,M,37.0,48.0,DM,Dipodomys,merriami,Rodent
316,317,10,17,1977,17,DO,F,32.0,48.0,DO,Dipodomys,ordii,Rodent
317,318,10,17,1977,17,DM,M,33.0,29.0,DM,Dipodomys,merriami,Rodent
318,319,10,17,1977,14,DM,M,36.0,45.0,DM,Dipodomys,merriami,Rodent
319,320,10,17,1977,17,DM,F,35.0,39.0,DM,Dipodomys,merriami,Rodent
320,321,10,17,1977,17,OL,F,,23.0,OL,Onychomys,leucogaster,Rodent
