Year,Month,Day,Hour,Minute,Values
2005,1,7,11,56,0.047847261
2007,6,4,23,48,0.991230839
2015,7,23,9,6,0.945348129
2011,11,11,7,27,0.575551813
2016,2,27,15,9,0.234956969
2005,8,7,18,2,0.581595598
2015,5,24,5,35,0.689575218
2001,7,13,9,9,0.701827423
2002,5,2,13,21,0.788523756
2003,4,8,23,29,0.110107749
2007,9,15,4,7,0.621734546
2018,6,12,13,24,0.413127942
2014,3,13,9,33,0.995865682
2003,8,7,7,29,0.716958073
2014,5,3,16,47,0.88547515
2004,8,11,21,30,0.657468594
2003,4,6,5,6,0.944995842
2013,6,19,16,38,0.577160034
2012,7,6,4,19,0.351212414
2003,4,14,17,58,0.491679106
2017,4,19,2,26,0.230404671
2016,9,11,4,11,0.276421686
2019,2,7,15,44,0.461207846
2016,6,15,22,40,0.738247238
2009,6,9,4,26,0.984138491
2019,5,27,17,55,0.988092615
2019,1,12,17,19,0.334746118
2003,8,27,16,14,0.890850684
2009,4,17,18,54,0.676539134
2007,5,7,23,2,0.619869899
2013,2,25,6,13,0.408701005
2017,11,11,19,1,0.468576499
2018,6,9,17,31,0.906695521
2020,5,2,3,47,0.967718998
2007,3,26,2,20,0.173145022
2008,10,5,1,15,0.853364192
2010,5,9,20,20,0.627583574
2013,11,25,16,9,0.899720174
2015,8,7,22,13,0.211548501
2000,11,13,9,21,0.328855618
2013,9,6,23,11,0.335455942
2002,10,12,7,20,0.839756386
2005,10,7,17,24,0.291923368
2009,11,18,17,29,0.810046475
2003,6,27,6,2,0.756288861
2011,10,15,3,8,0.929920419
2014,11,17,12,16,0.059183898
2015,4,24,18,13,0.065465152
2017,9,7,18,16,0.191638526
2010,2,11,0,59,0.015298134
2016,9,14,7,45,0.083234078
2019,4,10,1,21,0.38017884
2004,11,23,20,44,0.704089613
2008,3,27,1,21,0.514693082
2000,6,18,1,5,0.633309263
2001,8,16,17,10,0.507027692
2005,5,21,22,2,0.069700183
2001,6,6,13,31,0.495585917
2012,4,23,5,27,0.897361484
2013,7,21,9,21,0.201570582
2002,10,23,20,10,0.1160154
2010,2,21,18,44,0.044955545
2009,5,20,6,32,0.290880781
2006,3,27,24,24,0.555890573
2018,12,27,3,11,0.669041061
2008,7,5,15,11,0.784943729
2017,8,6,15,14,0.107492736
2004,1,19,10,56,0.405193326
2002,3,27,8,51,0.553148995
2002,5,3,15,47,0.009616547
2007,3,20,2,21,0.967445133
2003,9,15,23,18,0.035962207
2017,5,13,21,0,0.448208797
2001,10,13,1,49,0.891746539
2015,7,22,17,6,0.906577728
2010,2,8,5,54,0.734911278
2012,7,10,7,2,0.005092272
2015,12,3,7,44,0.095239729
2001,1,27,11,9,0.888428774
2003,4,18,5,53,0.732160608
2015,9,15,20,21,0.608367991
2017,8,21,4,56,0.350245596
2015,10,8,8,30,0.270783072
2002,7,24,22,47,0.396219551
2016,6,7,7,22,0.257798724
2009,8,24,3,25,0.856043346
2003,5,13,10,5,0.305862683
2002,7,8,13,59,0.491848705
2017,12,17,3,8,0.380475115
2002,7,3,10,33,0.494879068
2017,6,16,13,1,0.860628729
2016,1,25,3,55,0.232663731
2014,8,6,21,39,0.329394292
2016,3,6,13,6,0.222993492
2007,1,10,21,1,0.5660092
2014,11,25,8,26,0.295781167
2014,10,11,21,9,0.425065262
2002,2,8,11,51,0.005505782
2009,3,13,2,14,0.841020712
2005,5,10,10,10,0.958329077
